"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2223","should have no accessibility violations on task info modal","Desktop Chrome (chromium)","Wed Jun 03 21:18:52 UTC 2026","passed","Wed Jun 03 21:18:54 UTC 2026","View task info - accessibility","tests/task-info/task-info.axe.spec.ts","",""
"","6024","should have no accessibility violations on task info modal","Mobile Safari (webkit)","Wed Jun 03 21:18:58 UTC 2026","passed","Wed Jun 03 21:19:04 UTC 2026","View task info - accessibility","tests/task-info/task-info.axe.spec.ts","",""
"","2127","should have no accessibility violations on create task form","Desktop Chrome (chromium)","Wed Jun 03 21:18:52 UTC 2026","passed","Wed Jun 03 21:18:54 UTC 2026","Create task form - accessibility","tests/create-task/create-task.axe.spec.ts","",""
"","5852","should have no accessibility violations on create task form","Mobile Safari (webkit)","Wed Jun 03 21:18:57 UTC 2026","passed","Wed Jun 03 21:19:03 UTC 2026","Create task form - accessibility","tests/create-task/create-task.axe.spec.ts","",""
"","2737","should have no accessibility violations on task table","Mobile Safari (webkit)","Wed Jun 03 21:19:04 UTC 2026","passed","Wed Jun 03 21:19:07 UTC 2026","Task table - accessibility","tests/task-table/task-table.axe.spec.ts","",""
"","1520","should have no accessibility violations on task table","Desktop Chrome (chromium)","Wed Jun 03 21:18:56 UTC 2026","passed","Wed Jun 03 21:18:57 UTC 2026","Task table - accessibility","tests/task-table/task-table.axe.spec.ts","",""
