"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5813","should have no accessibility violations on task info modal","Mobile Safari (webkit)","Mon Jun 08 11:03:28 UTC 2026","passed","Mon Jun 08 11:03:34 UTC 2026","View task info - accessibility","tests/task-info/task-info.axe.spec.ts","",""
"","6094","should have no accessibility violations on create task form","Mobile Safari (webkit)","Mon Jun 08 11:03:27 UTC 2026","passed","Mon Jun 08 11:03:33 UTC 2026","Create task form - accessibility","tests/create-task/create-task.axe.spec.ts","",""
"","2519","should have no accessibility violations on task table","Mobile Safari (webkit)","Mon Jun 08 11:03:34 UTC 2026","passed","Mon Jun 08 11:03:37 UTC 2026","Task table - accessibility","tests/task-table/task-table.axe.spec.ts","",""
"","1396","should have no accessibility violations on task table","Desktop Chrome (chromium)","Mon Jun 08 11:03:26 UTC 2026","passed","Mon Jun 08 11:03:28 UTC 2026","Task table - accessibility","tests/task-table/task-table.axe.spec.ts","",""
"","2041","should have no accessibility violations on create task form","Desktop Chrome (chromium)","Mon Jun 08 11:03:23 UTC 2026","passed","Mon Jun 08 11:03:25 UTC 2026","Create task form - accessibility","tests/create-task/create-task.axe.spec.ts","",""
"","1952","should have no accessibility violations on task info modal","Desktop Chrome (chromium)","Mon Jun 08 11:03:23 UTC 2026","passed","Mon Jun 08 11:03:25 UTC 2026","View task info - accessibility","tests/task-info/task-info.axe.spec.ts","",""
