"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1475","should have no accessibility violations on task table","Desktop Chrome (chromium)","Thu May 28 10:29:50 UTC 2026","passed","Thu May 28 10:29:51 UTC 2026","Task table - accessibility","tests/task-table/task-table.axe.spec.ts","",""
"","5838","should have no accessibility violations on task info modal","Mobile Safari (webkit)","Thu May 28 10:29:52 UTC 2026","passed","Thu May 28 10:29:58 UTC 2026","View task info - accessibility","tests/task-info/task-info.axe.spec.ts","",""
"","2079","should have no accessibility violations on create task form","Desktop Chrome (chromium)","Thu May 28 10:29:46 UTC 2026","passed","Thu May 28 10:29:48 UTC 2026","Create task form - accessibility","tests/create-task/create-task.axe.spec.ts","",""
"","5908","should have no accessibility violations on create task form","Mobile Safari (webkit)","Thu May 28 10:29:51 UTC 2026","passed","Thu May 28 10:29:57 UTC 2026","Create task form - accessibility","tests/create-task/create-task.axe.spec.ts","",""
"","2624","should have no accessibility violations on task table","Mobile Safari (webkit)","Thu May 28 10:29:58 UTC 2026","passed","Thu May 28 10:30:01 UTC 2026","Task table - accessibility","tests/task-table/task-table.axe.spec.ts","",""
"","2124","should have no accessibility violations on task info modal","Desktop Chrome (chromium)","Thu May 28 10:29:46 UTC 2026","passed","Thu May 28 10:29:48 UTC 2026","View task info - accessibility","tests/task-info/task-info.axe.spec.ts","",""
