"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1369","[mobile] should have no accessibility violations on create task form","","Sun Jul 26 17:59:38 UTC 2026","passed","Sun Jul 26 17:59:40 UTC 2026","","Create task form - accessibility","",""
"","1250","[desktop] should have no accessibility violations on task table","","Sun Jul 26 17:59:03 UTC 2026","passed","Sun Jul 26 17:59:04 UTC 2026","","Task table - accessibility","",""
"","1168","[mobile] should have no accessibility violations on task table","","Sun Jul 26 17:59:10 UTC 2026","passed","Sun Jul 26 17:59:11 UTC 2026","","Task table - accessibility","",""
"","1498","[desktop] should have no accessibility violations on create task form","","Sun Jul 26 17:59:27 UTC 2026","passed","Sun Jul 26 17:59:28 UTC 2026","","Create task form - accessibility","",""
"","1569","[mobile] should have no accessibility violations on task info modal","","Sun Jul 26 17:59:42 UTC 2026","passed","Sun Jul 26 17:59:43 UTC 2026","","View task info - accessibility","",""
"","1500","[desktop] should have no accessibility violations on task info modal","","Sun Jul 26 17:59:30 UTC 2026","passed","Sun Jul 26 17:59:32 UTC 2026","","View task info - accessibility","",""
