"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1647","[mobile] should have no accessibility violations on task table","","Tue Aug 25 07:57:20 UTC 2026","passed","Tue Aug 25 07:57:22 UTC 2026","","Task table - accessibility","",""
"","1390","[mobile] should have no accessibility violations on task info modal","","Tue Aug 25 07:58:51 UTC 2026","passed","Tue Aug 25 07:58:52 UTC 2026","","View task info - accessibility","",""
"","1359","[desktop] should have no accessibility violations on task table","","Tue Aug 25 07:57:11 UTC 2026","passed","Tue Aug 25 07:57:12 UTC 2026","","Task table - accessibility","",""
"","1537","[mobile] should have no accessibility violations on create task form","","Tue Aug 25 07:58:47 UTC 2026","passed","Tue Aug 25 07:58:49 UTC 2026","","Create task form - accessibility","",""
"","1451","[desktop] should have no accessibility violations on create task form","","Tue Aug 25 07:58:34 UTC 2026","passed","Tue Aug 25 07:58:36 UTC 2026","","Create task form - accessibility","",""
"","1494","[desktop] should have no accessibility violations on task info modal","","Tue Aug 25 07:58:38 UTC 2026","passed","Tue Aug 25 07:58:39 UTC 2026","","View task info - accessibility","",""
