"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23093","Should have no accessibility violations on task table","","Wed Sep 16 06:52:12 UTC 2026","passed","Wed Sep 16 06:52:35 UTC 2026","","test.desktop.taskTable.TaskTableAccessibilityTest","test.desktop.taskTable.TaskTableAccessibilityTest","shouldHaveNoAccessibilityViolationsOnTaskTable"
"","22670","Should have no accessibility violations on task table","","Wed Sep 16 06:52:13 UTC 2026","passed","Wed Sep 16 06:52:36 UTC 2026","","test.mobile.taskTable.TaskTableAccessibilityTest","test.mobile.taskTable.TaskTableAccessibilityTest","shouldHaveNoAccessibilityViolationsOnTaskTable"
"","18686","Should have no accessibility violations on create task form","","Wed Sep 16 06:52:12 UTC 2026","passed","Wed Sep 16 06:52:31 UTC 2026","","test.desktop.createTask.CreateTaskAccessibilityTest","test.desktop.createTask.CreateTaskAccessibilityTest","shouldHaveNoAccessibilityViolationsOnCreateTaskForm"
"","18349","Should have no accessibility violations on task info modal","","Wed Sep 16 06:52:12 UTC 2026","passed","Wed Sep 16 06:52:31 UTC 2026","","test.desktop.taskInfo.TaskInfoAccessibilityTest","test.desktop.taskInfo.TaskInfoAccessibilityTest","shouldHaveNoAccessibilityViolationsOnTaskInfoModal"
"","17480","Should have no accessibility violations on task info modal","","Wed Sep 16 06:52:13 UTC 2026","passed","Wed Sep 16 06:52:30 UTC 2026","","test.mobile.taskInfo.TaskInfoAccessibilityTest","test.mobile.taskInfo.TaskInfoAccessibilityTest","shouldHaveNoAccessibilityViolationsOnTaskInfoModal"
"","16229","Should have no accessibility violations on create task form","","Wed Sep 16 06:52:12 UTC 2026","passed","Wed Sep 16 06:52:29 UTC 2026","","test.mobile.createTask.CreateTaskAccessibilityTest","test.mobile.createTask.CreateTaskAccessibilityTest","shouldHaveNoAccessibilityViolationsOnCreateTaskForm"
