"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6201","should have no accessibility violations on create task form","Mobile Safari (webkit)","Wed Jul 08 22:21:35 UTC 2026","passed","Wed Jul 08 22:21:41 UTC 2026","Create task form - accessibility","tests/create-task/create-task.axe.spec.ts","",""
"","2367","should have no accessibility violations on create task form","Desktop Chrome (chromium)","Wed Jul 08 22:21:29 UTC 2026","passed","Wed Jul 08 22:21:32 UTC 2026","Create task form - accessibility","tests/create-task/create-task.axe.spec.ts","",""
"","5779","should have no accessibility violations on task info modal","Mobile Safari (webkit)","Wed Jul 08 22:21:37 UTC 2026","passed","Wed Jul 08 22:21:43 UTC 2026","View task info - accessibility","tests/task-info/task-info.axe.spec.ts","",""
"","2445","should have no accessibility violations on task info modal","Desktop Chrome (chromium)","Wed Jul 08 22:21:29 UTC 2026","passed","Wed Jul 08 22:21:32 UTC 2026","View task info - accessibility","tests/task-info/task-info.axe.spec.ts","",""
"","2608","should have no accessibility violations on task table","Mobile Safari (webkit)","Wed Jul 08 22:21:43 UTC 2026","passed","Wed Jul 08 22:21:46 UTC 2026","Task table - accessibility","tests/task-table/task-table.axe.spec.ts","",""
"","2002","should have no accessibility violations on task table","Desktop Chrome (chromium)","Wed Jul 08 22:21:33 UTC 2026","passed","Wed Jul 08 22:21:35 UTC 2026","Task table - accessibility","tests/task-table/task-table.axe.spec.ts","",""
