"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12723","Should have no accessibility violations on task table","","Sun Jun 07 16:05:31 UTC 2026","passed","Sun Jun 07 16:05:44 UTC 2026","","test.mobile.taskTable.TaskTableAccessibilityTest","test.mobile.taskTable.TaskTableAccessibilityTest","shouldHaveNoAccessibilityViolationsOnTaskTable"
"","18991","Should have no accessibility violations on task info modal","","Sun Jun 07 16:05:30 UTC 2026","passed","Sun Jun 07 16:05:49 UTC 2026","","test.mobile.taskInfo.TaskInfoAccessibilityTest","test.mobile.taskInfo.TaskInfoAccessibilityTest","shouldHaveNoAccessibilityViolationsOnTaskInfoModal"
"","14111","Should have no accessibility violations on create task form","","Sun Jun 07 16:05:30 UTC 2026","passed","Sun Jun 07 16:05:44 UTC 2026","","test.desktop.createTask.CreateTaskAccessibilityTest","test.desktop.createTask.CreateTaskAccessibilityTest","shouldHaveNoAccessibilityViolationsOnCreateTaskForm"
"","12768","Should have no accessibility violations on create task form","","Sun Jun 07 16:05:31 UTC 2026","passed","Sun Jun 07 16:05:44 UTC 2026","","test.mobile.createTask.CreateTaskAccessibilityTest","test.mobile.createTask.CreateTaskAccessibilityTest","shouldHaveNoAccessibilityViolationsOnCreateTaskForm"
"","19129","Should have no accessibility violations on task info modal","","Sun Jun 07 16:05:30 UTC 2026","passed","Sun Jun 07 16:05:50 UTC 2026","","test.desktop.taskInfo.TaskInfoAccessibilityTest","test.desktop.taskInfo.TaskInfoAccessibilityTest","shouldHaveNoAccessibilityViolationsOnTaskInfoModal"
"","13602","Should have no accessibility violations on task table","","Sun Jun 07 16:05:30 UTC 2026","passed","Sun Jun 07 16:05:44 UTC 2026","","test.desktop.taskTable.TaskTableAccessibilityTest","test.desktop.taskTable.TaskTableAccessibilityTest","shouldHaveNoAccessibilityViolationsOnTaskTable"
