"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1418","should have no accessibility violations on task table","Desktop Chrome (chromium)","Tue Aug 25 06:47:07 UTC 2026","passed","Tue Aug 25 06:47:08 UTC 2026","Task table - accessibility","tests/task-table/task-table.axe.spec.ts","",""
"","2577","should have no accessibility violations on task table","Mobile Safari (webkit)","Tue Aug 25 06:47:13 UTC 2026","passed","Tue Aug 25 06:47:16 UTC 2026","Task table - accessibility","tests/task-table/task-table.axe.spec.ts","",""
"","2063","should have no accessibility violations on task info modal","Desktop Chrome (chromium)","Tue Aug 25 06:47:04 UTC 2026","passed","Tue Aug 25 06:47:06 UTC 2026","View task info - accessibility","tests/task-info/task-info.axe.spec.ts","",""
"","4155","should have no accessibility violations on task info modal","Mobile Safari (webkit)","Tue Aug 25 06:47:09 UTC 2026","passed","Tue Aug 25 06:47:13 UTC 2026","View task info - accessibility","tests/task-info/task-info.axe.spec.ts","",""
"","4819","should have no accessibility violations on create task form","Mobile Safari (webkit)","Tue Aug 25 06:47:08 UTC 2026","passed","Tue Aug 25 06:47:13 UTC 2026","Create task form - accessibility","tests/create-task/create-task.axe.spec.ts","",""
"","2031","should have no accessibility violations on create task form","Desktop Chrome (chromium)","Tue Aug 25 06:47:04 UTC 2026","passed","Tue Aug 25 06:47:06 UTC 2026","Create task form - accessibility","tests/create-task/create-task.axe.spec.ts","",""
