"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1342","should have no accessibility violations on task table","Desktop Chrome (chromium)","Fri Jun 05 16:34:19 UTC 2026","passed","Fri Jun 05 16:34:21 UTC 2026","Task table - accessibility","tests/task-table/task-table.axe.spec.ts","",""
"","1974","should have no accessibility violations on task info modal","Desktop Chrome (chromium)","Fri Jun 05 16:34:17 UTC 2026","passed","Fri Jun 05 16:34:19 UTC 2026","View task info - accessibility","tests/task-info/task-info.axe.spec.ts","",""
"","4863","should have no accessibility violations on task info modal","Mobile Safari (webkit)","Fri Jun 05 16:34:21 UTC 2026","passed","Fri Jun 05 16:34:26 UTC 2026","View task info - accessibility","tests/task-info/task-info.axe.spec.ts","",""
"","5683","should have no accessibility violations on create task form","Mobile Safari (webkit)","Fri Jun 05 16:34:20 UTC 2026","passed","Fri Jun 05 16:34:26 UTC 2026","Create task form - accessibility","tests/create-task/create-task.axe.spec.ts","",""
"","2483","should have no accessibility violations on task table","Mobile Safari (webkit)","Fri Jun 05 16:34:26 UTC 2026","passed","Fri Jun 05 16:34:29 UTC 2026","Task table - accessibility","tests/task-table/task-table.axe.spec.ts","",""
"","1914","should have no accessibility violations on create task form","Desktop Chrome (chromium)","Fri Jun 05 16:34:17 UTC 2026","passed","Fri Jun 05 16:34:19 UTC 2026","Create task form - accessibility","tests/create-task/create-task.axe.spec.ts","",""
