"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Accessibility","0","Task table","1","0","","0"
"0","Accessibility","0","Create task","1","0","","0"
"0","Accessibility","1","View task info","0","0","","0"
