"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2389","should have no accessibility violations on create task form","Desktop Chrome (chromium)","Sun Jun 28 17:11:46 UTC 2026","passed","Sun Jun 28 17:11:48 UTC 2026","Create task form - accessibility","tests/create-task/create-task.axe.spec.ts","",""
"","2477","should have no accessibility violations on task info modal","Desktop Chrome (chromium)","Sun Jun 28 17:11:46 UTC 2026","passed","Sun Jun 28 17:11:48 UTC 2026","View task info - accessibility","tests/task-info/task-info.axe.spec.ts","",""
"","5606","should have no accessibility violations on task info modal","Mobile Safari (webkit)","Sun Jun 28 17:11:52 UTC 2026","passed","Sun Jun 28 17:11:58 UTC 2026","View task info - accessibility","tests/task-info/task-info.axe.spec.ts","",""
"","1715","should have no accessibility violations on task table","Desktop Chrome (chromium)","Sun Jun 28 17:11:50 UTC 2026","passed","Sun Jun 28 17:11:51 UTC 2026","Task table - accessibility","tests/task-table/task-table.axe.spec.ts","",""
"","2812","should have no accessibility violations on task table","Mobile Safari (webkit)","Sun Jun 28 17:11:58 UTC 2026","passed","Sun Jun 28 17:12:01 UTC 2026","Task table - accessibility","tests/task-table/task-table.axe.spec.ts","",""
"","6424","should have no accessibility violations on create task form","Mobile Safari (webkit)","Sun Jun 28 17:11:50 UTC 2026","passed","Sun Jun 28 17:11:57 UTC 2026","Create task form - accessibility","tests/create-task/create-task.axe.spec.ts","",""
