"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Task Management","0","Delete task","2","0","","0"
"0","Task Management","0","Create task","2","0","","0"
"0","Task Management","0","View task info","2","0","","0"
"0","Task Management","0","Edit task","2","0","","0"
"0","Translation","0","Language support","2","0","","0"
