"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20588","should have no accessibility violations on task info form","","Mon Jul 06 12:14:15 UTC 2026","passed","Mon Jul 06 12:14:35 UTC 2026","","","",""
"","16887","should have no accessibility violations on task table when tasks loaded","","Mon Jul 06 12:14:36 UTC 2026","passed","Mon Jul 06 12:14:52 UTC 2026","","","",""
"","19388","should have no accessibility violations on create task form","","Mon Jul 06 12:13:55 UTC 2026","passed","Mon Jul 06 12:14:15 UTC 2026","","","",""
