"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1145","[desktop] should have no accessibility violations on task table","","Fri Sep 18 05:52:32 UTC 2026","passed","Fri Sep 18 05:52:33 UTC 2026","","Task table - accessibility","",""
"","1300","[desktop] should have no accessibility violations on create task form","","Fri Sep 18 05:51:32 UTC 2026","passed","Fri Sep 18 05:51:33 UTC 2026","","Create task form - accessibility","",""
"","1072","[mobile] should have no accessibility violations on create task form","","Fri Sep 18 05:51:44 UTC 2026","passed","Fri Sep 18 05:51:45 UTC 2026","","Create task form - accessibility","",""
"","1254","[desktop] should have no accessibility violations on task info modal","","Fri Sep 18 05:51:35 UTC 2026","passed","Fri Sep 18 05:51:36 UTC 2026","","View task info - accessibility","",""
"","1137","[mobile] should have no accessibility violations on task table","","Fri Sep 18 05:52:40 UTC 2026","passed","Fri Sep 18 05:52:42 UTC 2026","","Task table - accessibility","",""
"","1334","[mobile] should have no accessibility violations on task info modal","","Fri Sep 18 05:51:47 UTC 2026","passed","Fri Sep 18 05:51:48 UTC 2026","","View task info - accessibility","",""
