"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","87037","should have no accessibility violations on task table when tasks loaded","","Mon Jul 06 15:42:16 UTC 2026","passed","Mon Jul 06 15:43:43 UTC 2026","","","",""
"","149034","should have no accessibility violations on task info form","","Mon Jul 06 15:39:47 UTC 2026","passed","Mon Jul 06 15:42:16 UTC 2026","","","",""
"","177835","should have no accessibility violations on create task form","","Mon Jul 06 15:36:47 UTC 2026","passed","Mon Jul 06 15:39:45 UTC 2026","","","",""
