"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Accessibility","0","Task table","1","0","","0"
"0","Accessibility","1","Create task","0","0","","0"
"0","Accessibility","0","View task info","1","0","","0"
